order_id,order_status,order_status_label,order_date,required_date,shipped_date,latency_days,is_late_delivery,delivery_status,is_local_customer,customer_state,store_state
1,4,Completed,2016-01-01,2016-01-03,2016-01-03,2.0,False,On-Time,True,Ca,Ca
2,4,Completed,2016-01-01,2016-01-04,2016-01-03,2.0,False,On-Time,True,Ny,Ny
3,4,Completed,2016-01-02,2016-01-05,2016-01-03,1.0,False,On-Time,True,Ny,Ny
4,4,Completed,2016-01-03,2016-01-04,2016-01-05,2.0,True,Late,True,Ca,Ca
5,4,Completed,2016-01-03,2016-01-06,2016-01-06,3.0,False,On-Time,True,Ny,Ny
6,4,Completed,2016-01-04,2016-01-07,2016-01-05,1.0,False,On-Time,True,Ny,Ny
7,4,Completed,2016-01-04,2016-01-07,2016-01-05,1.0,False,On-Time,True,Ny,Ny
8,4,Completed,2016-01-04,2016-01-05,2016-01-05,1.0,False,On-Time,True,Ny,Ny
9,4,Completed,2016-01-05,2016-01-08,2016-01-08,3.0,False,On-Time,True,Ca,Ca
10,4,Completed,2016-01-05,2016-01-06,2016-01-06,1.0,False,On-Time,True,Ny,Ny
11,4,Completed,2016-01-05,2016-01-08,2016-01-07,2.0,False,On-Time,True,Ny,Ny
12,4,Completed,2016-01-06,2016-01-08,2016-01-09,3.0,True,Late,True,Ca,Ca
13,4,Completed,2016-01-08,2016-01-11,2016-01-11,3.0,False,On-Time,True,Ny,Ny
14,4,Completed,2016-01-09,2016-01-11,2016-01-12,3.0,True,Late,True,Ca,Ca
15,4,Completed,2016-01-09,2016-01-10,2016-01-12,3.0,True,Late,True,Ny,Ny
16,4,Completed,2016-01-12,2016-01-15,2016-01-15,3.0,False,On-Time,True,Ca,Ca
17,4,Completed,2016-01-12,2016-01-14,2016-01-14,2.0,False,On-Time,True,Ca,Ca
18,4,Completed,2016-01-14,2016-01-17,2016-01-15,1.0,False,On-Time,True,Ca,Ca
19,4,Completed,2016-01-14,2016-01-17,2016-01-16,2.0,False,On-Time,True,Ca,Ca
20,4,Completed,2016-01-14,2016-01-16,2016-01-17,3.0,True,Late,True,Ca,Ca
21,4,Completed,2016-01-15,2016-01-16,2016-01-18,3.0,True,Late,True,Ny,Ny
22,4,Completed,2016-01-16,2016-01-18,2016-01-17,1.0,False,On-Time,True,Ca,Ca
23,4,Completed,2016-01-16,2016-01-19,2016-01-19,3.0,False,On-Time,True,Ca,Ca
24,4,Completed,2016-01-18,2016-01-20,2016-01-19,1.0,False,On-Time,True,Ny,Ny
25,4,Completed,2016-01-18,2016-01-21,2016-01-21,3.0,False,On-Time,True,Ny,Ny
26,4,Completed,2016-01-18,2016-01-21,2016-01-19,1.0,False,On-Time,True,Ny,Ny
27,4,Completed,2016-01-19,2016-01-21,2016-01-20,1.0,False,On-Time,True,Ny,Ny
28,4,Completed,2016-01-19,2016-01-20,2016-01-21,2.0,True,Late,True,Ny,Ny
29,4,Completed,2016-01-20,2016-01-22,2016-01-21,1.0,False,On-Time,True,Ny,Ny
30,4,Completed,2016-01-20,2016-01-21,2016-01-21,1.0,False,On-Time,True,Ny,Ny
31,4,Completed,2016-01-20,2016-01-22,2016-01-22,2.0,False,On-Time,True,Tx,Tx
32,4,Completed,2016-01-21,2016-01-24,2016-01-22,1.0,False,On-Time,True,Ca,Ca
33,4,Completed,2016-01-21,2016-01-22,2016-01-22,1.0,False,On-Time,True,Ny,Ny
34,4,Completed,2016-01-22,2016-01-25,2016-01-23,1.0,False,On-Time,True,Ny,Ny
35,4,Completed,2016-01-22,2016-01-25,2016-01-24,2.0,False,On-Time,True,Ny,Ny
36,4,Completed,2016-01-23,2016-01-24,2016-01-24,1.0,False,On-Time,True,Ny,Ny
37,4,Completed,2016-01-25,2016-01-28,2016-01-26,1.0,False,On-Time,True,Ny,Ny
38,4,Completed,2016-01-25,2016-01-27,2016-01-26,1.0,False,On-Time,True,Ny,Ny
39,4,Completed,2016-01-25,2016-01-26,2016-01-26,1.0,False,On-Time,True,Ny,Ny
40,4,Completed,2016-01-27,2016-01-28,2016-01-29,2.0,True,Late,True,Ca,Ca
41,4,Completed,2016-01-27,2016-01-30,2016-01-29,2.0,False,On-Time,True,Ny,Ny
42,4,Completed,2016-01-27,2016-01-28,2016-01-30,3.0,True,Late,True,Ny,Ny
43,4,Completed,2016-01-27,2016-01-28,2016-01-30,3.0,True,Late,True,Ny,Ny
44,4,Completed,2016-01-28,2016-01-31,2016-01-30,2.0,False,On-Time,True,Ny,Ny
45,4,Completed,2016-01-28,2016-01-31,2016-01-31,3.0,False,On-Time,True,Ny,Ny
46,4,Completed,2016-01-29,2016-01-31,2016-01-31,2.0,False,On-Time,True,Ny,Ny
47,4,Completed,2016-01-29,2016-01-30,2016-01-31,2.0,True,Late,True,Ny,Ny
48,4,Completed,2016-01-30,2016-02-01,2016-02-02,3.0,True,Late,True,Ny,Ny
49,4,Completed,2016-01-31,2016-02-01,2016-02-02,2.0,True,Late,True,Ny,Ny
50,4,Completed,2016-01-31,2016-02-03,2016-02-02,2.0,False,On-Time,True,Tx,Tx
51,4,Completed,2016-02-01,2016-02-02,2016-02-03,2.0,True,Late,True,Ny,Ny
52,4,Completed,2016-02-03,2016-02-04,2016-02-05,2.0,True,Late,True,Ca,Ca
53,4,Completed,2016-02-03,2016-02-04,2016-02-05,2.0,True,Late,True,Ny,Ny
54,4,Completed,2016-02-04,2016-02-07,2016-02-07,3.0,False,On-Time,True,Ny,Ny
55,4,Completed,2016-02-04,2016-02-07,2016-02-06,2.0,False,On-Time,True,Ny,Ny
56,4,Completed,2016-02-04,2016-02-06,2016-02-07,3.0,True,Late,True,Ny,Ny
57,4,Completed,2016-02-04,2016-02-06,2016-02-06,2.0,False,On-Time,True,Ny,Ny
58,4,Completed,2016-02-05,2016-02-07,2016-02-07,2.0,False,On-Time,True,Ny,Ny
59,4,Completed,2016-02-05,2016-02-07,2016-02-06,1.0,False,On-Time,True,Ny,Ny
60,4,Completed,2016-02-06,2016-02-08,2016-02-07,1.0,False,On-Time,True,Ca,Ca
61,4,Completed,2016-02-06,2016-02-09,2016-02-09,3.0,False,On-Time,True,Ny,Ny
62,4,Completed,2016-02-07,2016-02-10,2016-02-10,3.0,False,On-Time,True,Ca,Ca
63,4,Completed,2016-02-07,2016-02-09,2016-02-09,2.0,False,On-Time,True,Ny,Ny
64,4,Completed,2016-02-07,2016-02-08,2016-02-09,2.0,True,Late,True,Ny,Ny
65,4,Completed,2016-02-08,2016-02-09,2016-02-11,3.0,True,Late,True,Ny,Ny
66,4,Completed,2016-02-09,2016-02-12,2016-02-12,3.0,False,On-Time,True,Ny,Ny
67,4,Completed,2016-02-09,2016-02-11,2016-02-10,1.0,False,On-Time,True,Tx,Tx
68,4,Completed,2016-02-10,2016-02-11,2016-02-13,3.0,True,Late,True,Ny,Ny
69,4,Completed,2016-02-10,2016-02-12,2016-02-11,1.0,False,On-Time,True,Ny,Ny
71,4,Completed,2016-02-11,2016-02-14,2016-02-12,1.0,False,On-Time,True,Ny,Ny
72,4,Completed,2016-02-12,2016-02-15,2016-02-13,1.0,False,On-Time,True,Ca,Ca
73,4,Completed,2016-02-12,2016-02-15,2016-02-14,2.0,False,On-Time,True,Ny,Ny
74,4,Completed,2016-02-13,2016-02-15,2016-02-15,2.0,False,On-Time,True,Ny,Ny
75,4,Completed,2016-02-14,2016-02-15,2016-02-17,3.0,True,Late,True,Ny,Ny
77,4,Completed,2016-02-16,2016-02-19,2016-02-19,3.0,False,On-Time,True,Ca,Ca
78,4,Completed,2016-02-16,2016-02-18,2016-02-19,3.0,True,Late,True,Ny,Ny
79,4,Completed,2016-02-17,2016-02-20,2016-02-20,3.0,False,On-Time,True,Ca,Ca
80,4,Completed,2016-02-17,2016-02-20,2016-02-19,2.0,False,On-Time,True,Ny,Ny
81,4,Completed,2016-02-17,2016-02-19,2016-02-18,1.0,False,On-Time,True,Ny,Ny
82,4,Completed,2016-02-18,2016-02-21,2016-02-20,2.0,False,On-Time,True,Ny,Ny
83,4,Completed,2016-02-19,2016-02-20,2016-02-20,1.0,False,On-Time,True,Ca,Ca
84,4,Completed,2016-02-20,2016-02-22,2016-02-21,1.0,False,On-Time,True,Ny,Ny
85,4,Completed,2016-02-20,2016-02-23,2016-02-21,1.0,False,On-Time,True,Ny,Ny
86,4,Completed,2016-02-21,2016-02-22,2016-02-23,2.0,True,Late,True,Ny,Ny
87,4,Completed,2016-02-21,2016-02-22,2016-02-23,2.0,True,Late,True,Ny,Ny
88,4,Completed,2016-02-21,2016-02-22,2016-02-23,2.0,True,Late,True,Ny,Ny
89,4,Completed,2016-02-21,2016-02-24,2016-02-24,3.0,False,On-Time,True,Tx,Tx
90,4,Completed,2016-02-23,2016-02-25,2016-02-24,1.0,False,On-Time,True,Ny,Ny
91,4,Completed,2016-02-25,2016-02-27,2016-02-28,3.0,True,Late,True,Ca,Ca
92,4,Completed,2016-02-25,2016-02-28,2016-02-28,3.0,False,On-Time,True,Ny,Ny
93,4,Completed,2016-02-26,2016-02-28,2016-02-27,1.0,False,On-Time,True,Ca,Ca
94,4,Completed,2016-02-27,2016-02-28,2016-02-29,2.0,True,Late,True,Ca,Ca
95,4,Completed,2016-02-27,2016-02-29,2016-02-28,1.0,False,On-Time,True,Ny,Ny
96,4,Completed,2016-02-27,2016-02-29,2016-02-28,1.0,False,On-Time,True,Ny,Ny
97,4,Completed,2016-02-28,2016-02-29,2016-03-01,2.0,True,Late,True,Ny,Ny
98,4,Completed,2016-02-28,2016-02-29,2016-02-29,1.0,False,On-Time,True,Ny,Ny
99,4,Completed,2016-02-29,2016-03-01,2016-03-03,3.0,True,Late,True,Tx,Tx
100,4,Completed,2016-03-01,2016-03-04,2016-03-03,2.0,False,On-Time,True,Ny,Ny
101,4,Completed,2016-03-01,2016-03-04,2016-03-04,3.0,False,On-Time,True,Tx,Tx
102,4,Completed,2016-03-02,2016-03-05,2016-03-03,1.0,False,On-Time,True,Ny,Ny
103,4,Completed,2016-03-03,2016-03-06,2016-03-05,2.0,False,On-Time,True,Ca,Ca
104,4,Completed,2016-03-03,2016-03-05,2016-03-05,2.0,False,On-Time,True,Ny,Ny
105,4,Completed,2016-03-03,2016-03-05,2016-03-04,1.0,False,On-Time,True,Ny,Ny
106,4,Completed,2016-03-04,2016-03-05,2016-03-05,1.0,False,On-Time,True,Tx,Tx
107,4,Completed,2016-03-06,2016-03-09,2016-03-09,3.0,False,On-Time,True,Ca,Ca
108,4,Completed,2016-03-06,2016-03-09,2016-03-07,1.0,False,On-Time,True,Ny,Ny
109,4,Completed,2016-03-06,2016-03-09,2016-03-09,3.0,False,On-Time,True,Ny,Ny
110,4,Completed,2016-03-06,2016-03-08,2016-03-09,3.0,True,Late,True,Tx,Tx
111,4,Completed,2016-03-07,2016-03-10,2016-03-10,3.0,False,On-Time,True,Ny,Ny
112,4,Completed,2016-03-08,2016-03-11,2016-03-10,2.0,False,On-Time,True,Ny,Ny
113,4,Completed,2016-03-08,2016-03-11,2016-03-11,3.0,False,On-Time,True,Ny,Ny
114,4,Completed,2016-03-08,2016-03-10,2016-03-11,3.0,True,Late,True,Ny,Ny
115,4,Completed,2016-03-09,2016-03-11,2016-03-11,2.0,False,On-Time,True,Ny,Ny
116,4,Completed,2016-03-10,2016-03-11,2016-03-11,1.0,False,On-Time,True,Ny,Ny
117,4,Completed,2016-03-10,2016-03-13,2016-03-11,1.0,False,On-Time,True,Ny,Ny
