order_id,item_id,date_id,customer_id,product_id,store_id,staff_id,quantity,list_price_usd,discount,final_price_usd,final_price_EGP
1,1,20160101.0,259.0,20,1.0,2.0,1,599.99,0.2,479.99,26074.89
1,2,20160101.0,259.0,8,1.0,2.0,2,1799.99,0.07,3347.98,181874.4
1,3,20160101.0,259.0,10,1.0,2.0,2,1549.0,0.05,2943.1,159879.79
1,4,20160101.0,259.0,16,1.0,2.0,2,599.99,0.05,1139.98,61927.87
1,5,20160101.0,259.0,4,1.0,2.0,1,2899.99,0.2,2319.99,126030.32
2,1,20160101.0,1212.0,20,2.0,6.0,1,599.99,0.07,557.99,30312.06
2,2,20160101.0,1212.0,16,2.0,6.0,2,599.99,0.05,1139.98,61927.87
3,1,20160102.0,523.0,3,2.0,7.0,1,999.99,0.05,949.99,51606.9
3,2,20160102.0,523.0,20,2.0,7.0,1,599.99,0.05,569.99,30963.94
4,1,20160103.0,175.0,2,1.0,3.0,2,749.99,0.1,1349.98,73335.88
5,1,20160103.0,1324.0,10,2.0,6.0,2,1549.0,0.05,2943.1,159879.79
5,2,20160103.0,1324.0,17,2.0,6.0,1,429.0,0.07,398.97,21673.49
5,3,20160103.0,1324.0,26,2.0,6.0,1,599.99,0.07,557.99,30312.06
6,1,20160104.0,94.0,18,2.0,6.0,1,449.0,0.07,417.57,22683.91
6,2,20160104.0,94.0,12,2.0,6.0,2,549.99,0.05,1044.98,56767.13
6,3,20160104.0,94.0,20,2.0,6.0,1,599.99,0.1,539.99,29334.26
6,4,20160104.0,94.0,3,2.0,6.0,2,999.99,0.07,1859.98,101040.89
6,5,20160104.0,94.0,9,2.0,6.0,2,2999.99,0.07,5579.98,303124.68
7,1,20160104.0,324.0,15,2.0,6.0,1,529.99,0.07,492.89,26775.6
7,2,20160104.0,324.0,3,2.0,6.0,1,999.99,0.1,899.99,48890.75
7,3,20160104.0,324.0,17,2.0,6.0,2,429.0,0.1,772.2,41948.68
8,1,20160104.0,1204.0,22,2.0,7.0,1,269.99,0.05,256.49,13933.49
8,2,20160104.0,1204.0,20,2.0,7.0,2,599.99,0.07,1115.98,60624.13
9,1,20160105.0,60.0,7,1.0,2.0,2,3999.99,0.1,7199.98,391128.94
10,1,20160105.0,442.0,14,2.0,6.0,1,269.99,0.1,242.99,13200.15
11,1,20160105.0,1326.0,8,2.0,7.0,1,1799.99,0.05,1709.99,92892.84
11,2,20160105.0,1326.0,22,2.0,7.0,2,269.99,0.1,485.98,26400.29
11,3,20160105.0,1326.0,16,2.0,7.0,2,599.99,0.2,959.98,52149.79
12,1,20160106.0,91.0,4,1.0,2.0,2,2899.99,0.1,5219.98,283568.21
12,2,20160106.0,91.0,11,1.0,2.0,1,1680.99,0.05,1596.94,86751.56
13,1,20160108.0,873.0,13,2.0,6.0,1,269.99,0.1,242.99,13200.15
13,2,20160108.0,873.0,17,2.0,6.0,2,429.0,0.05,815.1,44279.17
13,3,20160108.0,873.0,20,2.0,6.0,2,599.99,0.1,1079.98,58668.51
13,4,20160108.0,873.0,16,2.0,6.0,2,599.99,0.05,1139.98,61927.87
14,1,20160109.0,258.0,6,1.0,3.0,1,469.99,0.07,437.09,23744.34
15,1,20160109.0,450.0,12,2.0,7.0,2,549.99,0.07,1022.98,55572.03
15,2,20160109.0,450.0,8,2.0,7.0,1,1799.99,0.07,1673.99,90937.2
15,3,20160109.0,450.0,18,2.0,7.0,2,449.0,0.05,853.1,46343.46
15,4,20160109.0,450.0,23,2.0,7.0,2,299.99,0.2,479.98,26074.46
16,1,20160112.0,552.0,8,1.0,3.0,1,1799.99,0.2,1439.99,78225.55
16,2,20160112.0,552.0,21,1.0,3.0,1,269.99,0.05,256.49,13933.49
16,3,20160112.0,552.0,13,1.0,3.0,2,269.99,0.07,502.18,27280.3
16,4,20160112.0,552.0,14,1.0,3.0,1,269.99,0.07,251.09,13640.15
17,1,20160112.0,1175.0,8,1.0,3.0,1,1799.99,0.07,1673.99,90937.2
17,2,20160112.0,1175.0,23,1.0,3.0,1,299.99,0.1,269.99,14666.88
17,3,20160112.0,1175.0,5,1.0,3.0,1,1320.99,0.1,1188.89,64584.84
17,4,20160112.0,1175.0,20,1.0,3.0,2,599.99,0.2,959.98,52149.79
18,1,20160114.0,541.0,2,1.0,3.0,2,749.99,0.2,1199.98,65187.45
18,2,20160114.0,541.0,22,1.0,3.0,1,269.99,0.05,256.49,13933.49
18,3,20160114.0,541.0,7,1.0,3.0,1,3999.99,0.1,3599.99,195564.47
18,4,20160114.0,541.0,25,1.0,3.0,2,499.99,0.05,949.98,51606.39
18,5,20160114.0,541.0,9,1.0,3.0,2,2999.99,0.1,5399.98,293346.46
19,1,20160114.0,696.0,10,1.0,2.0,1,1549.0,0.07,1440.57,78256.95
19,2,20160114.0,696.0,9,1.0,2.0,2,2999.99,0.2,4799.98,260752.41
20,1,20160114.0,923.0,9,1.0,2.0,1,2999.99,0.07,2789.99,151562.34
20,2,20160114.0,923.0,10,1.0,2.0,2,1549.0,0.07,2881.14,156513.9
21,1,20160115.0,1250.0,14,2.0,6.0,1,269.99,0.05,256.49,13933.49
21,2,20160115.0,1250.0,17,2.0,6.0,1,429.0,0.1,386.1,20974.34
21,3,20160115.0,1250.0,10,2.0,6.0,1,1549.0,0.07,1440.57,78256.95
22,1,20160116.0,1035.0,15,1.0,2.0,2,529.99,0.2,847.98,46065.54
22,2,20160116.0,1035.0,22,1.0,2.0,1,269.99,0.05,256.49,13933.49
23,1,20160116.0,1149.0,4,1.0,2.0,2,2899.99,0.05,5509.98,299322.0
23,2,20160116.0,1149.0,23,1.0,2.0,2,299.99,0.1,539.98,29333.77
23,3,20160116.0,1149.0,13,1.0,2.0,1,269.99,0.2,215.99,11733.46
24,1,20160118.0,636.0,3,2.0,7.0,2,999.99,0.1,1799.98,97781.5
24,2,20160118.0,636.0,18,2.0,7.0,2,449.0,0.07,835.14,45367.81
25,1,20160118.0,657.0,23,2.0,6.0,2,299.99,0.2,479.98,26074.46
25,2,20160118.0,657.0,10,2.0,6.0,2,1549.0,0.2,2478.4,134635.61
25,3,20160118.0,657.0,22,2.0,6.0,1,269.99,0.2,215.99,11733.46
