order_id,item_id,product_id,quantity,list_price,discount,Extraction_Date,source,extraction_timestamp,data_source,list_price_usd,list_price_EGP,final_price_usd,final_price_EGP
1,1,20,1,599.99,0.2,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,599.99,32593.62,479.99,26074.89
1,2,8,2,1799.99,0.07,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,1799.99,97781.94,3347.98,181874.4
1,3,10,2,1549.0,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,1549.0,84147.26,2943.1,159879.79
1,4,16,2,599.99,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,599.99,32593.62,1139.98,61927.87
1,5,4,1,2899.99,0.2,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,2899.99,157537.9,2319.99,126030.32
2,1,20,1,599.99,0.07,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,599.99,32593.62,557.99,30312.06
2,2,16,2,599.99,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,599.99,32593.62,1139.98,61927.87
3,1,3,1,999.99,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,999.99,54323.06,949.99,51606.9
3,2,20,1,599.99,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,599.99,32593.62,569.99,30963.94
4,1,2,2,749.99,0.1,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,749.99,40742.16,1349.98,73335.88
5,1,10,2,1549.0,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,1549.0,84147.26,2943.1,159879.79
5,2,17,1,429.0,0.07,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,429.0,23304.82,398.97,21673.49
5,3,26,1,599.99,0.07,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,599.99,32593.62,557.99,30312.06
6,1,18,1,449.0,0.07,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,449.0,24391.3,417.57,22683.91
6,2,12,2,549.99,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,549.99,29877.44,1044.98,56767.13
6,3,20,1,599.99,0.1,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,599.99,32593.62,539.99,29334.26
6,4,3,2,999.99,0.07,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,999.99,54323.06,1859.98,101040.89
6,5,9,2,2999.99,0.07,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,2999.99,162970.26,5579.98,303124.68
7,1,15,1,529.99,0.07,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,529.99,28790.96,492.89,26775.6
7,2,3,1,999.99,0.1,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,999.99,54323.06,899.99,48890.75
7,3,17,2,429.0,0.1,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,429.0,23304.82,772.2,41948.68
8,1,22,1,269.99,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,269.99,14666.83,256.49,13933.49
8,2,20,2,599.99,0.07,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,599.99,32593.62,1115.98,60624.13
9,1,7,2,3999.99,0.1,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,3999.99,217293.86,7199.98,391128.94
10,1,14,1,269.99,0.1,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,269.99,14666.83,242.99,13200.15
11,1,8,1,1799.99,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,1799.99,97781.94,1709.99,92892.84
11,2,22,2,269.99,0.1,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,269.99,14666.83,485.98,26400.29
11,3,16,2,599.99,0.2,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,599.99,32593.62,959.98,52149.79
12,1,4,2,2899.99,0.1,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,2899.99,157537.9,5219.98,283568.21
12,2,11,1,1680.99,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,1680.99,91317.43,1596.94,86751.56
13,1,13,1,269.99,0.1,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,269.99,14666.83,242.99,13200.15
13,2,17,2,429.0,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,429.0,23304.82,815.1,44279.17
13,3,20,2,599.99,0.1,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,599.99,32593.62,1079.98,58668.51
13,4,16,2,599.99,0.05,2024-05-01 11:37:45,SQL-Server,2026-04-03T20:36:26,SQLite/DB_Tables,599.99,32593.62,1139.98,61927.87
